;;;;;AT;DE;Value
base;0;16;36424;cost_zonal;2404650,507055411;14414732,236969799;
base;0;16;36424;AnnCO2Emissions;8272,069366410598;237289,88804199945;
base;0;16;36424;AnnCurtail;1313,3401141257718;6129,545764346771;
base;0;16;36424;AnnG_el;25839,75255110679;309138,2808500927;
base;0;16;36424;AnnG_ht;22516,666600001412;127978,02409997885;
base;0;16;36424;AnnGBiomass;5739,099900665849;;
base;0;16;36424;AnnGFossil;42617,31925044235;437116,30495007156;
base;0;16;36424;AnnR;59663,2641193349;284294,9393899988;
base;0;16;36424;AnnSpendingEl;2395286,4016358294;20629332,60100671;
base;0;16;36424;AnnProdSurplus;2308372,750449154;12405962,833745789;
base;0;16;36424;AnnX;;11640,668311621574;
base;0;16;36424;AnnValueX;814957,1341682975;183497,76627187076;
base;0;16;36424;AnnValueI;-183497,76627187076;-814957,1341682975;
base;0;16;36424;AnnSIn;6535,7988841099805;31089,57900363798;
base;0;16;36424;AnnSOut;14708,967726128363;29259,279819177467;
base;0;16;36424;AvgPriceEl;29,331517136994805;32,76695930443156;
base;0;16;36424;AvgPriceHt;12,803461824572915;9,731248084486374;
base;0;16;36424;cost_invest_g;2117,751198760121;432713,0120469862;
base;0;16;36424;cost_invest_r;716318,2518315588;0,0;
base;0;16;36424;cost_invest_sv;0,0;272796,2812580459;
base;0;16;36424;cost_invest_x;0,0;0,0;
base;0;16;36424;CostCO2;;;False
base;0;16;36424;CostFuel;696184,8226350344;6901296,089366393;
base;0;16;36424;CostOMG;337522,71259866026;3528693,7101345286;
base;0;16;36424;CostOMR;652506,9687905143;3279233,144168009;
base;0;16;36424;add_r_pv;0,0;0,0;
base;0;16;36424;add_r_ror;0,0;0,0;
base;0;16;36424;add_r_wind_off;0,0;0,0;
base;0;16;36424;add_r_wind_on;10,588045428791315;0,0;
base;0;16;36424;add_g_bio;0,0;0,0;
base;0;16;36424;add_g_bio_boiler_chp;0,0;0,0;
base;0;16;36424;add_g_bio_chp;0,0;0,0;
base;0;16;36424;add_g_coal_igcc;0,0;0,0;
base;0;16;36424;add_g_coal_sc;0,0;0,0;
base;0;16;36424;add_g_coal_sc_chp;0,0;0,0;
base;0;16;36424;add_g_coal_sub;0,0;0,0;
base;0;16;36424;add_g_coal_sub_chp;0,0;0,0;
base;0;16;36424;add_g_coal_usc;0,0;0,0;
base;0;16;36424;add_g_coal_usc_chp;0,0;0,0;
base;0;16;36424;add_g_eboi_pth;0,0;0,0;
base;0;16;36424;add_g_heatpump_pth;0,0;0,0;
base;0;16;36424;add_g_hpa_pth;0,0;0,0;
base;0;16;36424;add_g_lig_boa;0,0;0,0;
base;0;16;36424;add_g_lig_boa_chp;0,0;0,0;
base;0;16;36424;add_g_lig_stm;0,0;0,0;
base;0;16;36424;add_g_lig_stm_chp;0,0;0,0;
base;0;16;36424;add_g_ng_boiler_chp;0,49745779999999984;0,0;
base;0;16;36424;add_g_ng_cbt_hi;0,0;0,0;
base;0;16;36424;add_g_ng_cbt_hi_chp;0,0;0,0;
base;0;16;36424;add_g_ng_cbt_lo;0,0;0,0;
base;0;16;36424;add_g_ng_cbt_lo_chp;0,0;0,0;
base;0;16;36424;add_g_ng_cc_hi;0,0;0,9244405750015803;
base;0;16;36424;add_g_ng_cc_hi_chp;0,0;0,0;
base;0;16;36424;add_g_ng_cc_lo;0,0;0,0;
base;0;16;36424;add_g_ng_cc_lo_chp;0,0;0,0;
base;0;16;36424;add_g_ng_mtr;0,0;0,0;
base;0;16;36424;add_g_ng_mtr_chp;0,0;0,0;
base;0;16;36424;add_g_ng_stm;0,0;0,19857821222852834;
base;0;16;36424;add_g_ng_stm_chp;0,0;15,998242105263156;
base;0;16;36424;add_g_nuc;0,0;0,0;
base;0;16;36424;add_g_oil_cbt;0,0;0,0;
base;0;16;36424;add_g_oil_cbt_chp;0,0;0,0;
base;0;16;36424;add_g_oil_cc;0,0;0,0;
base;0;16;36424;add_g_oil_cc_chp;0,0;0,0;
base;0;16;36424;add_g_oil_stm;0,0;0,7329166960461864;
base;0;16;36424;add_g_oil_stm_chp;0,0;2,098905423296242;
base;0;16;36424;deco_g_bio;0,0;3,2552000000000003;
base;0;16;36424;deco_g_bio_boiler_chp;0,8;2,6;
base;0;16;36424;deco_g_bio_chp;0,0;0,0;
base;0;16;36424;deco_g_coal_igcc;0,0;0,0;
base;0;16;36424;deco_g_coal_sc;0,0;0,0;
base;0;16;36424;deco_g_coal_sc_chp;0,0;0,0;
base;0;16;36424;deco_g_coal_sub;0,0;0,0;
base;0;16;36424;deco_g_coal_sub_chp;0,0;0,0;
base;0;16;36424;deco_g_coal_usc;0,0;0,0;
base;0;16;36424;deco_g_coal_usc_chp;0,0;0,0;
base;0;16;36424;deco_g_eboi_pth;0,0;0,0;
base;0;16;36424;deco_g_heatpump_pth;0,0;0,0;
base;0;16;36424;deco_g_hpa_pth;0,0;0,0;
base;0;16;36424;deco_g_lig_boa;0,0;0,0;
base;0;16;36424;deco_g_lig_boa_chp;0,0;0,0;
base;0;16;36424;deco_g_lig_stm;0,0;0,0;
base;0;16;36424;deco_g_lig_stm_chp;0,0;0,0;
base;0;16;36424;deco_g_ng_boiler_chp;0,0;0,0;
base;0;16;36424;deco_g_ng_cbt_hi;0,0;0,0;
base;0;16;36424;deco_g_ng_cbt_hi_chp;0,0;0,428;
base;0;16;36424;deco_g_ng_cbt_lo;0,12814;0,0;
base;0;16;36424;deco_g_ng_cbt_lo_chp;0,27692;1,082;
base;0;16;36424;deco_g_ng_cc_hi;0,0;0,0;
